ID,time
0,3.772980000746884e-06
1,8.34528000012824e-06
2,1.248597000000018e-05
3,1.753873999945199e-05
4,2.1572729997672014e-05
5,2.5178189997916436e-05
6,2.9229399996211217e-05
7,3.2901199995762914e-05
8,3.6947989995610443e-05
9,4.061930999540664e-05
10,4.429334999571211e-05
11,4.992928999456581e-05
12,5.352362999474281e-05
13,5.7641619994228685e-05
14,6.126128999426328e-05
15,6.533734999180752e-05
16,6.888189999131102e-05
17,7.243600999231604e-05
18,7.644842999241064e-05
19,7.999939999166372e-05
20,8.466305999036195e-05
21,8.822638998879029e-05
22,9.335697998977822e-05
23,9.69349699897748e-05
24,0.00010056389998993608
25,0.00010467224998905066
26,0.0001083313099908878
27,0.00011245419999028172
28,0.000116132159988922
29,0.00012023795998828745
30,0.0001238955899898997
31,0.00012759533999201267
32,0.00013174937999110625
33,0.0001364508399905162
34,0.0001405800299914972
35,0.00014422014999183828
36,0.00014831359999135428
37,0.00015195896999017574
38,0.00015556666998946863
39,0.00015966563999057822
40,0.0001632902099913735
41,0.00016739018998947582
42,0.00017095891998934572
43,0.0001749894899919013
44,0.0001846846899917409
45,0.00018839052999027213
46,0.00019255813998881872
47,0.00019615174998989456
48,0.00020023907998989893
49,0.000203831349988377
50,0.0002078850199870885
51,0.0002114775699868687
52,0.00021507886998932687
53,0.0002191472999894017
54,0.00022280407998891854
55,0.00022717593998862633
56,0.00023084347998917557
57,0.00023496166999024119
58,0.00023863053999008337
59,0.0002422927399896934
